Site name: Gonari Schoolhouse meteorological monitoring station,,,
Site description: on the roof of the schoolhouse at Gonari,,,
Latitude: 22.504714N,,,
Longitude: 89.435929E,,,
"Start time: 26-Aug-2015, 0:00:00 local time (GMT +6)",,,
"Stop time: 11-Sep-2015, 0:00:00 local time (GMT +6)",,,
Sampling interval: 5 minutes,,,
Notes: site measures atmospheric pressure only; used to convert water pressure to depth at the other locations. These data are part of a multi-year record.,,,
,,,
8/26/2015 17:30,42242.73,1021.453524,
8/26/2015 17:35,42242.73,1021.453524,
8/26/2015 17:40,42242.74,1021.555496,
8/26/2015 17:45,42242.74,1021.555496,
8/26/2015 17:50,42242.74,1021.555496,
8/26/2015 17:55,42242.75,1021.555496,
8/26/2015 18:00,42242.75,1021.453524,
8/26/2015 18:05,42242.75,1021.351552,
8/26/2015 18:10,42242.76,1021.453524,
8/26/2015 18:15,42242.76,1021.453524,
8/26/2015 18:20,42242.76,1021.351552,
8/26/2015 18:25,42242.77,1021.24958,
8/26/2015 18:30,42242.77,1021.351552,
8/26/2015 18:35,42242.77,1021.351552,
8/26/2015 18:40,42242.78,1021.351552,
8/26/2015 18:45,42242.78,1021.351552,
8/26/2015 18:50,42242.78,1021.24958,
8/26/2015 18:55,42242.79,1021.147608,
8/26/2015 19:00,42242.79,1021.045636,
8/26/2015 19:05,42242.8,1021.045636,
8/26/2015 19:10,42242.8,1020.841692,
8/26/2015 19:15,42242.8,1020.73972,
8/26/2015 19:20,42242.81,1020.637748,
8/26/2015 19:25,42242.81,1020.73972,
8/26/2015 19:30,42242.81,1020.73972,
8/26/2015 19:35,42242.82,1020.637748,
8/26/2015 19:40,42242.82,1020.637748,
8/26/2015 19:45,42242.82,1020.637748,
8/26/2015 19:50,42242.83,1020.535776,
8/26/2015 19:55,42242.83,1020.331832,
8/26/2015 20:00,42242.83,1020.331832,
8/26/2015 20:05,42242.84,1020.331832,
8/26/2015 20:10,42242.84,1020.331832,
8/26/2015 20:15,42242.84,1020.331832,
8/26/2015 20:20,42242.85,1020.331832,
8/26/2015 20:25,42242.85,1020.433804,
8/26/2015 20:30,42242.85,1020.433804,
8/26/2015 20:35,42242.86,1020.331832,
8/26/2015 20:40,42242.86,1020.22986,
8/26/2015 20:45,42242.86,1020.127888,
8/26/2015 20:50,42242.87,1019.923944,
8/26/2015 20:55,42242.87,1019.923944,
8/26/2015 21:00,42242.88,1019.923944,
8/26/2015 21:05,42242.88,1019.72,
8/26/2015 21:10,42242.88,1019.72,
8/26/2015 21:15,42242.89,1019.72,
8/26/2015 21:20,42242.89,1019.821972,
8/26/2015 21:25,42242.89,1019.72,
8/26/2015 21:30,42242.9,1019.618028,
8/26/2015 21:35,42242.9,1019.618028,
8/26/2015 21:40,42242.9,1019.516056,
8/26/2015 21:45,42242.91,1019.618028,
8/26/2015 21:50,42242.91,1019.414084,
8/26/2015 21:55,42242.91,1019.516056,
8/26/2015 22:00,42242.92,1019.516056,
8/26/2015 22:05,42242.92,1019.516056,
8/26/2015 22:10,42242.92,1019.516056,
8/26/2015 22:15,42242.93,1019.618028,
8/26/2015 22:20,42242.93,1019.516056,
8/26/2015 22:25,42242.93,1019.516056,
8/26/2015 22:30,42242.94,1019.516056,
8/26/2015 22:35,42242.94,1019.618028,
8/26/2015 22:40,42242.94,1019.618028,
8/26/2015 22:45,42242.95,1019.618028,
8/26/2015 22:50,42242.95,1019.618028,
8/26/2015 22:55,42242.95,1019.618028,
8/26/2015 23:00,42242.96,1019.72,
8/26/2015 23:05,42242.96,1019.618028,
8/26/2015 23:10,42242.97,1019.618028,
8/26/2015 23:15,42242.97,1019.618028,
8/26/2015 23:20,42242.97,1019.618028,
8/26/2015 23:25,42242.98,1019.618028,
8/26/2015 23:30,42242.98,1019.72,
8/26/2015 23:35,42242.98,1019.72,
8/26/2015 23:40,42242.99,1019.72,
8/26/2015 23:45,42242.99,1019.618028,
8/26/2015 23:50,42242.99,1019.821972,
8/26/2015 23:55,42243,1019.821972,
8/27/2015 0:00,42243,1019.923944,
8/27/2015 0:05,42243,1019.923944,
8/27/2015 0:10,42243.01,1020.025916,
8/27/2015 0:15,42243.01,1020.127888,
8/27/2015 0:20,42243.01,1020.22986,
8/27/2015 0:25,42243.02,1020.127888,
8/27/2015 0:30,42243.02,1020.127888,
8/27/2015 0:35,42243.02,1020.127888,
8/27/2015 0:40,42243.03,1020.22986,
8/27/2015 0:45,42243.03,1020.331832,
8/27/2015 0:50,42243.03,1020.331832,
8/27/2015 0:55,42243.04,1020.637748,
8/27/2015 1:00,42243.04,1020.535776,
8/27/2015 1:05,42243.05,1020.637748,
8/27/2015 1:10,42243.05,1020.73972,
8/27/2015 1:15,42243.05,1020.73972,
8/27/2015 1:20,42243.06,1020.73972,
8/27/2015 1:25,42243.06,1020.841692,
8/27/2015 1:30,42243.06,1020.841692,
8/27/2015 1:35,42243.07,1020.841692,
8/27/2015 1:40,42243.07,1021.045636,
8/27/2015 1:45,42243.07,1021.147608,
8/27/2015 1:50,42243.08,1021.147608,
8/27/2015 1:55,42243.08,1021.24958,
8/27/2015 2:00,42243.08,1021.24958,
8/27/2015 2:05,42243.09,1021.555496,
8/27/2015 2:10,42243.09,1021.555496,
8/27/2015 2:15,42243.09,1021.555496,
8/27/2015 2:20,42243.1,1021.657468,
8/27/2015 2:25,42243.1,1021.75944,
8/27/2015 2:30,42243.1,1021.861412,
8/27/2015 2:35,42243.11,1021.75944,
8/27/2015 2:40,42243.11,1021.75944,
8/27/2015 2:45,42243.11,1021.963384,
8/27/2015 2:50,42243.12,1021.963384,
8/27/2015 2:55,42243.12,1021.861412,
8/27/2015 3:00,42243.13,1021.657468,
8/27/2015 3:05,42243.13,1021.75944,
8/27/2015 3:10,42243.13,1021.861412,
8/27/2015 3:15,42243.14,1021.75944,
8/27/2015 3:20,42243.14,1021.75944,
8/27/2015 3:25,42243.14,1021.963384,
8/27/2015 3:30,42243.15,1021.75944,
8/27/2015 3:35,42243.15,1021.75944,
8/27/2015 3:40,42243.15,1021.657468,
8/27/2015 3:45,42243.16,1022.065356,
8/27/2015 3:50,42243.16,1022.065356,
8/27/2015 3:55,42243.16,1022.065356,
8/27/2015 4:00,42243.17,1022.167328,
8/27/2015 4:05,42243.17,1022.167328,
8/27/2015 4:10,42243.17,1021.963384,
8/27/2015 4:15,42243.18,1021.861412,
8/27/2015 4:20,42243.18,1021.657468,
8/27/2015 4:25,42243.18,1021.861412,
8/27/2015 4:30,42243.19,1021.963384,
8/27/2015 4:35,42243.19,1021.861412,
8/27/2015 4:40,42243.19,1021.861412,
8/27/2015 4:45,42243.2,1021.861412,
8/27/2015 4:50,42243.2,1021.555496,
8/27/2015 4:55,42243.2,1021.75944,
8/27/2015 5:00,42243.21,1021.75944,
8/27/2015 5:05,42243.21,1021.555496,
8/27/2015 5:10,42243.22,1021.555496,
8/27/2015 5:15,42243.22,1021.555496,
8/27/2015 5:20,42243.22,1021.453524,
8/27/2015 5:25,42243.23,1021.555496,
8/27/2015 5:30,42243.23,1021.453524,
8/27/2015 5:35,42243.23,1021.453524,
8/27/2015 5:40,42243.24,1021.657468,
8/27/2015 5:45,42243.24,1021.555496,
8/27/2015 5:50,42243.24,1021.351552,
8/27/2015 5:55,42243.25,1021.351552,
8/27/2015 6:00,42243.25,1021.351552,
8/27/2015 6:05,42243.25,1021.351552,
8/27/2015 6:10,42243.26,1021.24958,
8/27/2015 6:15,42243.26,1021.351552,
8/27/2015 6:20,42243.26,1021.24958,
8/27/2015 6:25,42243.27,1021.24958,
8/27/2015 6:00,42243.25,1021.045636,
8/27/2015 6:35,42243.27,1021.045636,
8/27/2015 6:40,42243.28,1020.943664,
8/27/2015 6:45,42243.28,1020.841692,
8/27/2015 6:50,42243.28,1020.73972,
8/27/2015 6:55,42243.29,1020.73972,
8/27/2015 7:00,42243.29,1020.331832,
8/27/2015 7:05,42243.3,1020.127888,
8/27/2015 7:10,42243.3,1020.331832,
8/27/2015 7:15,42243.3,1020.22986,
8/27/2015 7:20,42243.31,1020.331832,
8/27/2015 7:25,42243.31,1020.433804,
8/27/2015 7:30,42243.31,1020.331832,
8/27/2015 7:35,42243.32,1020.331832,
8/27/2015 7:40,42243.32,1020.433804,
8/27/2015 7:45,42243.32,1020.433804,
8/27/2015 7:50,42243.33,1020.331832,
8/27/2015 7:55,42243.33,1020.22986,
8/27/2015 8:00,42243.33,1020.127888,
8/27/2015 8:05,42243.34,1020.025916,
8/27/2015 8:10,42243.34,1020.025916,
8/27/2015 8:15,42243.34,1020.127888,
8/27/2015 8:20,42243.35,1019.923944,
8/27/2015 8:25,42243.35,1019.821972,
8/27/2015 8:30,42243.35,1019.618028,
8/27/2015 8:35,42243.36,1019.516056,
8/27/2015 8:40,42243.36,1019.414084,
8/27/2015 8:45,42243.36,1019.516056,
8/27/2015 8:50,42243.37,1019.618028,
8/27/2015 8:55,42243.37,1019.414084,
8/27/2015 9:00,42243.38,1019.516056,
8/27/2015 9:05,42243.38,1019.414084,
8/27/2015 9:10,42243.38,1019.414084,
8/27/2015 9:15,42243.39,1019.21014,
8/27/2015 9:20,42243.39,1019.21014,
8/27/2015 9:25,42243.39,1018.904224,
8/27/2015 9:30,42243.4,1019.006196,
8/27/2015 9:35,42243.4,1019.108168,
8/27/2015 9:40,42243.4,1019.21014,
8/27/2015 9:45,42243.41,1019.21014,
8/27/2015 9:50,42243.41,1019.414084,
8/27/2015 9:55,42243.41,1019.414084,
8/27/2015 10:00,42243.42,1019.21014,
8/27/2015 10:05,42243.42,1019.108168,
8/27/2015 10:10,42243.42,1018.802252,
8/27/2015 10:15,42243.43,1019.006196,
8/27/2015 10:20,42243.43,1018.802252,
8/27/2015 10:25,42243.43,1018.802252,
8/27/2015 10:30,42243.44,1018.904224,
8/27/2015 10:35,42243.44,1019.006196,
8/27/2015 10:40,42243.44,1019.108168,
8/27/2015 10:45,42243.45,1019.312112,
8/27/2015 10:50,42243.45,1019.414084,
8/27/2015 10:55,42243.45,1019.312112,
8/27/2015 11:00,42243.46,1019.21014,
8/27/2015 11:05,42243.46,1019.414084,
8/27/2015 11:10,42243.47,1019.414084,
8/27/2015 11:15,42243.47,1019.21014,
8/27/2015 11:20,42243.47,1019.414084,
8/27/2015 11:25,42243.48,1019.516056,
8/27/2015 11:30,42243.48,1019.516056,
8/27/2015 11:35,42243.48,1019.516056,
8/27/2015 11:40,42243.49,1019.618028,
8/27/2015 11:45,42243.49,1019.618028,
8/27/2015 11:50,42243.49,1019.72,
8/27/2015 11:55,42243.5,1019.72,
8/27/2015 12:00,42243.5,1019.72,
8/27/2015 12:05,42243.5,1019.923944,
8/27/2015 12:10,42243.51,1019.923944,
8/27/2015 12:15,42243.51,1020.127888,
8/27/2015 12:20,42243.51,1020.127888,
8/27/2015 12:25,42243.52,1020.22986,
8/27/2015 12:30,42243.52,1020.331832,
8/27/2015 12:35,42243.52,1020.331832,
8/27/2015 12:40,42243.53,1020.127888,
8/27/2015 12:45,42243.53,1020.22986,
8/27/2015 12:50,42243.53,1020.433804,
8/27/2015 12:55,42243.54,1020.535776,
8/27/2015 13:00,42243.54,1020.637748,
8/27/2015 13:05,42243.55,1020.637748,
8/27/2015 13:10,42243.55,1020.73972,
8/27/2015 13:15,42243.55,1020.73972,
8/27/2015 13:20,42243.56,1020.841692,
8/27/2015 13:25,42243.56,1021.045636,
8/27/2015 13:30,42243.56,1021.147608,
8/27/2015 13:35,42243.57,1021.045636,
8/27/2015 13:40,42243.57,1021.045636,
8/27/2015 13:45,42243.57,1021.24958,
8/27/2015 13:50,42243.58,1021.24958,
8/27/2015 13:55,42243.58,1021.453524,
8/27/2015 14:00,42243.58,1021.453524,
8/27/2015 14:05,42243.59,1021.657468,
8/27/2015 14:10,42243.59,1021.657468,
8/27/2015 14:15,42243.59,1021.657468,
8/27/2015 14:20,42243.6,1021.75944,
8/27/2015 14:25,42243.6,1021.861412,
8/27/2015 14:30,42243.6,1021.963384,
8/27/2015 14:35,42243.61,1021.963384,
8/27/2015 14:40,42243.61,1021.963384,
8/27/2015 14:45,42243.61,1021.963384,
8/27/2015 14:50,42243.62,1022.065356,
8/27/2015 14:55,42243.62,1022.065356,
8/27/2015 15:00,42243.63,1022.167328,
8/27/2015 15:05,42243.63,1022.167328,
8/27/2015 15:10,42243.63,1022.167328,
8/27/2015 15:15,42243.64,1021.963384,
8/27/2015 15:20,42243.64,1022.065356,
8/27/2015 15:25,42243.64,1022.167328,
8/27/2015 15:30,42243.65,1022.371272,
8/27/2015 15:35,42243.65,1022.473244,
8/27/2015 15:40,42243.65,1022.473244,
8/27/2015 15:45,42243.66,1022.473244,
8/27/2015 15:50,42243.66,1022.473244,
8/27/2015 15:55,42243.66,1022.575216,
8/27/2015 16:00,42243.67,1022.575216,
8/27/2015 16:05,42243.67,1022.575216,
8/27/2015 16:10,42243.67,1022.677188,
8/27/2015 16:15,42243.68,1022.677188,
8/27/2015 16:20,42243.68,1022.575216,
8/27/2015 16:25,42243.68,1022.575216,
8/27/2015 16:30,42243.69,1022.473244,
8/27/2015 16:35,42243.69,1022.371272,
8/27/2015 16:40,42243.69,1022.371272,
8/27/2015 16:45,42243.7,1022.2693,
8/27/2015 16:50,42243.7,1022.2693,
8/27/2015 16:55,42243.7,1022.065356,
8/27/2015 17:00,42243.71,1022.065356,
8/27/2015 17:05,42243.71,1022.065356,
8/27/2015 17:10,42243.72,1021.963384,
8/27/2015 17:15,42243.72,1021.963384,
8/27/2015 17:20,42243.72,1022.065356,
8/27/2015 17:25,42243.73,1021.963384,
8/27/2015 17:30,42243.73,1021.75944,
8/27/2015 17:35,42243.73,1021.75944,
8/27/2015 17:40,42243.74,1021.657468,
8/27/2015 17:45,42243.74,1021.657468,
8/27/2015 17:50,42243.74,1021.657468,
8/27/2015 17:55,42243.75,1021.453524,
8/27/2015 18:00,42243.75,1021.453524,
8/27/2015 18:05,42243.75,1021.453524,
8/27/2015 18:10,42243.76,1021.351552,
8/27/2015 18:15,42243.76,1021.555496,
8/27/2015 18:20,42243.76,1021.453524,
8/27/2015 18:25,42243.77,1021.351552,
8/27/2015 18:30,42243.77,1021.351552,
8/27/2015 18:35,42243.77,1021.351552,
8/27/2015 18:40,42243.78,1021.24958,
8/27/2015 18:45,42243.78,1021.24958,
8/27/2015 18:50,42243.78,1021.24958,
8/27/2015 18:55,42243.79,1021.147608,
8/27/2015 19:00,42243.79,1021.045636,
8/27/2015 19:05,42243.8,1021.045636,
8/27/2015 19:10,42243.8,1020.943664,
8/27/2015 19:15,42243.8,1020.841692,
8/27/2015 19:20,42243.81,1020.73972,
8/27/2015 19:25,42243.81,1020.73972,
8/27/2015 19:30,42243.81,1020.535776,
8/27/2015 19:35,42243.82,1020.535776,
8/27/2015 19:40,42243.82,1020.637748,
8/27/2015 19:45,42243.82,1020.637748,
8/27/2015 19:50,42243.83,1020.535776,
8/27/2015 19:55,42243.83,1020.433804,
8/27/2015 20:00,42243.83,1020.331832,
8/27/2015 20:05,42243.84,1020.433804,
8/27/2015 20:10,42243.84,1020.433804,
8/27/2015 20:15,42243.84,1020.331832,
8/27/2015 20:20,42243.85,1020.331832,
8/27/2015 20:25,42243.85,1020.22986,
8/27/2015 20:30,42243.85,1020.22986,
8/27/2015 20:35,42243.86,1020.025916,
8/27/2015 20:40,42243.86,1020.127888,
8/27/2015 20:45,42243.86,1020.535776,
8/27/2015 20:50,42243.87,1020.73972,
8/27/2015 20:55,42243.87,1020.535776,
8/27/2015 21:00,42243.88,1020.433804,
8/27/2015 21:05,42243.88,1020.433804,
8/27/2015 21:10,42243.88,1020.433804,
8/27/2015 21:15,42243.89,1020.331832,
8/27/2015 21:20,42243.89,1020.331832,
8/27/2015 21:25,42243.89,1020.22986,
8/27/2015 21:30,42243.9,1020.22986,
8/27/2015 21:35,42243.9,1020.331832,
8/27/2015 21:40,42243.9,1020.127888,
8/27/2015 21:45,42243.91,1020.025916,
8/27/2015 21:50,42243.91,1019.923944,
8/27/2015 21:55,42243.91,1019.821972,
8/27/2015 22:00,42243.92,1019.923944,
8/27/2015 22:05,42243.92,1019.923944,
8/27/2015 22:10,42243.92,1019.923944,
8/27/2015 22:15,42243.93,1019.923944,
8/27/2015 22:20,42243.93,1019.923944,
8/27/2015 22:25,42243.93,1020.025916,
8/27/2015 22:30,42243.94,1020.127888,
8/27/2015 22:35,42243.94,1020.127888,
8/27/2015 22:40,42243.94,1020.22986,
8/27/2015 22:45,42243.95,1020.22986,
8/27/2015 22:50,42243.95,1020.22986,
